m_phi,width_central,width_lower,width_upper
0.8366600265340756,3.0469934545334244e-07,2.367907342220692e-07,3.811581706085192e-07
0.8426149773176358,3.147313657801907e-07,2.422964269540553e-07,3.9662578014931223e-07
0.848528137423857,3.2605482320901037e-07,2.487444396711534e-07,4.1381089428958493e-07
0.8544003745317531,3.387796685695194e-07,2.5598941413009023e-07,4.33150473711969e-07
0.8602325267042626,3.529789488319804e-07,2.640606779771629e-07,4.5477797648164646e-07
0.8660254037844386,3.6846601525858673e-07,2.727416204629634e-07,4.785614041179567e-07
0.8717797887081347,3.853365351026963e-07,2.8206914980255596e-07,5.046792356867029e-07
0.8774964387392122,4.0360098027871523e-07,2.9197414841294693e-07,5.332586864266385e-07
0.8831760866327847,4.233471791656284e-07,3.024576314332098e-07,5.645136259972356e-07
0.8888194417315589,4.4466779686694894e-07,3.1351107670966733e-07,5.986855362326159e-07
0.8944271909999159,4.676311921664539e-07,3.250821968281831e-07,6.360245841887822e-07
0.9,4.923655478918205e-07,3.371703753830931e-07,6.768542919282177e-07
0.9055385138137417,5.189565484008851e-07,3.497131570314456e-07,7.214927179237062e-07
0.9110433579144299,5.47497996662414e-07,3.626320162312422e-07,7.703095416827308e-07
0.916515138991168,5.781259154104263e-07,3.758737056088105e-07,8.237494466881206e-07
0.9219544457292888,6.108832437751315e-07,3.8927924930700225e-07,8.822054652640676e-07
0.9273618495495703,6.45831880551007e-07,4.0267250895190943e-07,9.461618269736393e-07
0.9327379053088815,6.830586111691992e-07,4.1587643537923515e-07,1.016189754430086e-06
0.938083151964686,7.224257846321448e-07,4.285119249307454e-07,1.0926614205477027e-06
0.9433981132056604,7.637500183036825e-07,4.4013334470659723e-07,1.1759892651762688e-06
0.9486832980505138,8.068928094266221e-07,4.502811831887086e-07,1.2667824544775303e-06
0.9539392014169457,8.51034341786299e-07,4.580123197765692e-07,1.3648416543680923e-06
0.9591663046625439,8.950187858762497e-07,4.621775354949453e-07,1.4696039997498193e-06
0.9643650760992956,9.368670896763574e-07,4.6114089974983797e-07,1.5794565959288253e-06
0.9695359714832659,9.731423167729947e-07,4.524243636888806e-07,1.690869915669613e-06
0.9746794344808964,9.9739551125866e-07,4.3225271143619784e-07,1.7954245398722243e-06
0.9797958971132712,9.961546380126554e-07,3.937615240567298e-07,1.873193876368759e-06
0.9848857801796105,9.39497081219433e-07,3.242616144159353e-07,1.8744715435473104e-06
0.9899494936611666,7.542854652309123e-07,2.0999904141689838e-07,1.6351648992390393e-06
0.99498743710662,2.142236261330063e-07,1.0278454157605038e-07,3.6612868151426614e-07
1.0,3.384681698332288e-07,1.1037100239012965e-07,6.911245842313727e-07
1.004987562112089,2.524736959455717e-07,8.036730340709545e-08,5.204813556883106e-07
1.0099504938362078,2.1198743211496157e-07,7.031426684924278e-08,4.2990771765242336e-07
1.014889156509222,1.782611063447663e-07,5.650673371606574e-08,3.680947531299505e-07
1.019803902718557,1.4895989846258455e-07,4.5421042270667506e-08,3.122399353812889e-07
1.02469507659596,1.2473183984003183e-07,3.7048675492930707e-08,2.6405988725252885e-07
1.0295630140987,1.05253211475034e-07,3.049881840880505e-08,2.2488073672064863e-07
1.03440804327886,8.976000101877359e-08,2.533759250983613e-08,1.936190128411352e-07
1.0392304845413265,7.694129582426633e-08,2.1307406140215945e-08,1.6711360998472263e-07
1.044030650891055,6.597223133917811e-08,1.8219741794317832e-08,1.4342935243712907e-07
1.0488088481701516,5.693141476702475e-08,1.5942279828361804e-08,1.231612389837713e-07
1.0535653752852738,4.975304337791247e-08,1.4337458895343023e-08,1.0651651287196943e-07
1.0583005244258363,4.4249686052345414e-08,1.3241544516885626e-08,9.341597874408607e-08
1.063014581273465,3.9986923197996795e-08,1.2544223461962928e-08,8.290576552498789e-08
1.0677078252031311,3.669762112806407e-08,1.2191765006271398e-08,7.437409170073449e-08
1.0723805294763609,3.4167357922188806e-08,1.21431011383372e-08,6.733638339633884e-08
1.0770329614269007,3.236588168621295e-08,1.2356043765580021e-08,6.182814590739756e-08
1.0816653826391966,3.1248689479258297e-08,1.2754243470287027e-08,5.789379304162924e-08
1.0862780491200215,3.0724261490759195e-08,1.3261132675065906e-08,5.5417754267419486e-08
1.0908712114635715,3.069455944915211e-08,1.3811283640885977e-08,5.423115654024535e-08
1.0954451150103321,3.103561920679989e-08,1.4362687146672467e-08,5.405353151405267e-08
1.1,3.169032537247184e-08,1.4917815042463663e-08,5.470781896428864e-08
1.104536101718726,3.260946021173032e-08,1.5478728544976368e-08,5.6049736122613595e-08
1.1090536506409416,3.3756195627553456e-08,1.6053501990347675e-08,5.796285903788146e-08
1.1135528725660044,3.5122097693135335e-08,1.6662273070188414e-08,6.038587830081018e-08
1.118033988749895,3.668276971889273e-08,1.7313811564611743e-08,6.323865550753938e-08
1.1224972160321824,3.840678183566643e-08,1.7990238319733015e-08,6.647387069917187e-08
1.1269427669584644,4.028790425120057e-08,1.8713266465199768e-08,7.003459347113729e-08
1.131370849898476,4.2347992440628876e-08,1.9530086008310533e-08,7.388745682635079e-08
1.1357816691600546,4.460992528719093e-08,2.0481878008300276e-08,7.801202302907985e-08
1.140175425099138,4.710899025819399e-08,2.1613653721833725e-08,8.241279231682926e-08
1.1445523142259597,4.986557654060322e-08,2.2949484974876865e-08,8.709649712617534e-08
1.1489125293076057,5.28623961860364e-08,2.4477195721010966e-08,9.204220351670183e-08
1.1532562594670797,5.607430590558668e-08,2.6182324654709335e-08,9.721346947251139e-08
1.1575836902790226,5.946704929671032e-08,2.8045175560483793e-08,1.0256031522637456e-07
1.161895003862225,6.301307797306229e-08,3.0048344941981446e-08,1.0804601241286281e-07
1.1661903789690602,6.671579778910631e-08,3.220450932434275e-08,1.1365790432187075e-07
1.1704699910719625,7.058213352705966e-08,3.452687167819283e-08,1.1939228448782092e-07
1.174734012447073,7.463095114359789e-08,3.7034118304664216e-08,1.252670205996992e-07
1.1789826122551597,7.888114607941212e-08,3.974585919630018e-08,1.3129905515141336e-07
1.1832159566199232,8.332137644313913e-08,4.265213070447703e-08,1.3748146059459753e-07
1.1874342087037917,8.793221879711064e-08,4.573227074861694e-08,1.438049995480997e-07
1.1916375287812984,9.268821596229787e-08,4.8965327097569206e-08,1.5024436846497529e-07
1.1958260743101399,9.755811263313212e-08,5.232405492378584e-08,1.5676956261457033e-07
1.2,1.0252950857299947e-07,5.579937279003168e-08,1.6336606212799247e-07
1.2041594578792296,1.0761200517992685e-07,5.9408313347462254e-08,1.7003018820219313e-07
1.2083045973594573,1.1280817766084611e-07,6.315590033695093e-08,1.7676154984828805e-07
1.2124355652982142,1.1813794990069146e-07,6.70614383801998e-08,1.8357951266743656e-07
1.2165525060596438,1.2360542632079823e-07,7.112924002171948e-08,1.9048913628119394e-07
1.2206555615733703,1.2918951378917706e-07,7.532963427355515e-08,1.9748816939574296e-07
1.224744871391589,1.348758150434821e-07,7.964609664786103e-08,2.045684657925534e-07
1.2288205727444508,1.4063541526574114e-07,8.40476827095823e-08,2.1170856452406629e-07
1.2328828005937953,1.4644680452463468e-07,8.851284206207455e-08,2.188895134336497e-07
1.2369316876852983,1.5231104997104737e-07,9.305077904509561e-08,2.2609902166828617e-07
1.2409673645990857,1.582316687834279e-07,9.766844977120363e-08,2.3333476179861718e-07
1.2449899597988732,1.6421724513313742e-07,1.0237885459510362e-07,2.405976877412832e-07
1.2489995996796797,1.7027547238371818e-07,1.0718560015234144e-07,2.4790127670731556e-07
1.2529964086141667,1.7639333582898935e-07,1.1206784899700873e-07,2.552460042288314e-07
1.2569805089976536,1.8254955470015992e-07,1.169963598164142e-07,2.6262453646947896e-07
1.2609520212918492,1.8872110452934153e-07,1.219422607016056e-07,2.700241985549316e-07
1.2649110640673518,1.9488940251878428e-07,1.268903975919246e-07,2.7742217325882484e-07
1.2688577540449522,2.0105378902129446e-07,1.3184669684966106e-07,2.848073346817513e-07
1.2727922061357855,2.072228843440615e-07,1.3682742524387634e-07,2.921758092420184e-07
1.2767145334803705,2.1340196573451362e-07,1.41837272065162e-07,2.995330408634284e-07
1.2806248474865698,2.1958326159488641e-07,1.4685963392706724e-07,3.068844744302054e-07
1.284523257866513,2.2574798615528448e-07,1.518653468221189e-07,3.142273302683967e-07
1.2884098726725126,2.318662089388705e-07,1.5681984579069402e-07,3.2153992077894254e-07
1.2922847983320085,2.379339336177549e-07,1.617255905938697e-07,3.288084750818768e-07
1.296148139681572,2.4395159772247213e-07,1.665872113995675e-07,3.3602677379457585e-07
1.3,2.4992492872068643e-07,1.7140677095305583e-07,3.4320480072882706e-07
1.3038404810405297,2.558520425784563e-07,1.7617562237465282e-07,3.5034985236733707e-07
1.307669683062202,2.617846075412718e-07,1.8100760297594788e-07,3.5742215675270627e-07
1.3114877048604001,2.6751414310939466e-07,1.8552186705991883e-07,3.644692583566972e-07
1.3152946437965904,2.727171370982647e-07,1.8936719736854473e-07,3.712259114766574e-07
1.3190905958272918,2.7900321186665494e-07,1.9454593929480512e-07,3.7864512622099986e-07
1.3228756555322954,2.8478715547587677e-07,1.9951634813057412e-07,3.851896992060144e-07
